"_id","objectid","project_name","address","status","description","image","project_url","project_type","image_alt_text","takedown_date","ward_name","ward_number","globalid","geometry"
12,14,"New Park at 318 Queens Quay","318 Queens Quay West","In progress","A new park is coming to 318 Queens Quay. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2018/11/9215-rees-street-park.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-318-queens-quay/","New Park","Artist rendering of Rees Street Park","None","Spadina-Fort York","10","cabd0440-b7aa-42be-8068-0b09ea5bdad8",c(-79.3879426202811, 43.6387809398165)
13,15,"Liberty Village Park Improvements ","70 East Liberty Street ","In progress","The City is improving Liberty Village Park. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2019/11/9209-Liberty-Village-Park-cr-1024x338.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/liberty-village-park-improvements/","Park or Facility Improvements","Liberty Village Park","None","Spadina-Fort York","10","cc1579f1-e744-459d-9c27-dba9f2e307bb",c(-79.414748489802, 43.6388523496022)
14,16,"New Park at 10 Ordnance Street ","10 Ordnance Street ","In progress","A new park is coming to 10 Ordnance Street. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2022/03/8f1a-new-park-10-ordnance-street-map.png","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-10-ordnance-street/","New Park","A map showing the project site in red, with the new park at 801 Wellington Street West shown on the north side of the Garrison Crossing bridge and the new park at 10 Ordnance Street to the south side of the bridge. The Metrolinx construction area is shown with red hash marks on the east side of the new park at 10 Ordnance Street.","None","Spadina-Fort York","10","f9a1464b-e828-4889-8865-5dc56f56e4d2",c(-79.4085303096535, 43.6392548702778)
15,17,"Toronto Island Park Master Plan ","9 Queens Quay W","In progress","The Toronto Island Park Master Plan is being co-created with Indigenous rights holders, local stakeholders and the general public. Learn more about the project and how you can get involved.","https://www.toronto.ca/data/parks/img/pdcp/00_park.png","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/parks-facility-plans-strategies/toronto-island-park-master-plan/","Master Plan or Study","Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.","None","Spadina-Fort York","10","5439eb59-25fc-498b-9278-fbd65b599025",c(-79.3757601894664, 43.6400516201303)
16,18,"Melbourne Avenue Parkette Playground Improvements","7 Melbourne Avenue ","In progress","The City is improving the playground at Melbourne Avenue Parkette. Learn more about the project and how you can get involved.","https://www.toronto.ca/data/parks/img/2476/2.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/melbourne-avenue-parkette-playground-improvements/","Playground Improvements","Illustration of children at a playground with the Toronto skyline in the background.","None","Parkdale-High Park","04","0bdbd098-f822-48a8-b648-69c2d1ba76c8",c(-79.4285833193877, 43.640278180348)
17,19,"York Street Park ","100 Queens Quay W","In progress","A new park is coming to York Street and Harbour Street. Learn more about the project and how you can get involved.","https://www.toronto.ca/data/parks/img/2476/2.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/york-street-park/","New Park","Artist rendering of the new park at York Street and Queens Quay","None","Spadina-Fort York","10","717e0a5d-7964-49bb-9ff7-6b7d9f081ab4",c(-79.3800385496367, 43.6402947001359)
18,20,"Spring Garden Park Playground Improvements","32 Meadow Crest Road","In progress","The City is improving the playground at Spring Garden Park. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2021/12/94ef-spring-garden-park-playground-improvements-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/spring-garden-park-playground-improvements/","Playground Improvements","A photograph of Spring Garden Park Playground, which includes one slide, a swing set and a climber. The playground is surrounded by tall trees and grass","None","Etobicoke-Lakeshore","03","d5782b79-b7f4-4223-a4e3-5bc2150f6be6",c(-79.5135812599247, 43.6415991099689)
19,21,"Dennis Flynn Park Basketball Court","370 The West Mall ","In progress","The City is adding a basketball court at Dennis Flynn Park. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2022/04/97f7-dennis-flynn-park-basketball-court-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/dennis-flynn-park-basketball-court/","Park or Facility Improvements","An photograph of Dennis Flynn Park which shows a large open field with grass, with mature trees in the background.","None","Etobicoke Centre","02","6d116673-38ee-4d40-aa37-eaab28615015",c(-79.5660169403056, 43.6417036496901)
20,22,"New Parks in the Six Points Neighbourhood","None","In progress","A group of new parks is coming to the Six Points neighbourhood. Learn more about the project and how you can get involved.","https://www.toronto.ca/data/parks/img/pdcp/00_park.png","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-parks-in-the-six-points-neighbourhood/#:~:text=A%20group%20of%20new%20parks,Points%20Park%20(1%2C600%20m2).","New Park","Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.","None","Etobicoke-Lakeshore","03","109b6be6-46f4-4d8f-b648-61246e49a345",c(-79.5348438202238, 43.6421669298866)
21,23,"Victoria Memorial Square Park Improvements","10 Niagara Street","In progress","The City is improving Victoria Memorial Square Park. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2022/05/9720-victoria-memorial-square-park-improvements-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/victoria-memorial-square-park-improvements/","Park or Facility Improvements","A photograph of Victoria Memorial Square Park, which shows mature trees and a long pedestrian sidewalk adjacent to the park in the foreground, and a monument and open law space in the background. The park is surrounded by residential apartment buildings.","None","Spadina-Fort York","10","a72ac0b1-6cdd-41d8-b484-2c041714c1fe",c(-79.4002103098357, 43.6424942302106)
